id,章节,规则描述,适用对象,校验方式,正则/路径表达式,严重等级,建议提示
F801,8.1,封面应包含文件名称、层次/类别字样、文件代号、文件编号、ICS号、CCS号、发布日期、实施日期、发布机构等必备信息。,封面,manual,,error,请检查封面必备信息是否齐全。
F802,8.1,若文件有被替代文件，封面应标明被替代文件编号。编号行数不应超过一行。如果一行写不下，应在前言中说明。,封面,manual,,error,检查封面的被替代文件编号。若过多，请移至前言说明。
F803,8.1,若文件与国际文件有一致性对应关系，封面应标示一致性程度标识。,封面,manual,,error,请检查封面是否标注了与国际文件的一致性程度标识（如IDT、MOD、EQV）。
F804,8.1,国家标准、行业标准的封面应标注文件名称的英文译名；行业标准封面还应标注备案号。,封面,manual,,error,请检查封面是否包含规定的英文译名（国标、行标）及备案号（行标）。
F805,8.1,征求意见稿和送审稿的封面显著位置应给出征集是否涉及专利的信息。,封面,manual,,error,草案封面显著位置请按附录D.1提供专利信息声明。
F806,8.2,目次应依次包含：前言、引言、章、条（需要时）、附录、附录条（需要时）、参考文献、索引、图（需要时）、表（需要时）及其页码。,目次,xpath,//w:p[contains(w:r/w:t, ‘目次’)]/following-sibling::w:p[not(descendant::w:hyperlink)]/descendant::w:t,error,请按8.2a-j顺序检查目次内容是否完整。章条标题后应有页码。
F807,8.2,目次中不应列出“术语和定义”中的条目编号和术语。,目次,regex,3(\.\d+)*\s+[\u4e00-\u9fa5]+\s+[A-Za-z]*,error,目次中不得包含具体的术语条目（如“3.1 术语”）。
F808,8.3,前言不应分条、不应给出章节号，也不应包含要求、指示、推荐或允许条款，不应用图表、表或数学公式。,前言,xpath,//w:p[contains(w:r/w:t, ‘前言’)]/following-sibling::w:p[not(preceding-sibling::w:p[contains(w:r/w:t, ‘范围’)])]/w:r/w:t,error,前言部分不得使用条编号、图表或包含要求性语句。
F809,8.3,前言应包含文件起草依据的标准，表述为：“本文件按照GB/T 1.1—2020《标准化工作导则 第1部分：标准化文件的结构和起草规则》的规定起草。”,前言,regex,本文件按照\s*GB/T\s*1\.1[—-—]2020《标准化工作导则\s+第1部分：标准化文件的结构和起草规则》\s*的规定起草。,error,请在前言中准确使用8.3a规定的固定表述。
F810,8.3,前言应包含文件与其他文件的关系、与代替文件的关系（含主要技术变化）、与国际文件关系的说明、专利说明（如适用）、提出和归口信息、起草单位和主要起草人、历次版本发布情况。,前言,manual,,error,请按8.3b-h顺序检查前言内容是否齐全。
F811,8.3,全国专业标准化技术委员会提出或归口时，应标注SAC/TC代号。表述为：“本文件由全国×××标准化技术委员会（SAC/TC XXX）提出/归口。”,前言,regex,本文件由全国[\u4e00-\u9fa5]+标准化技术委员会\s*（SAC/TC\s*\d+）\s*(提出|归口)。,warning,技术委员会提出/归口信息格式应为“全国XX标委会（SAC/TC XXX）”。
F812,8.4,引言不应包含要求型条款。,引言,xpath,//w:p[contains(w:r/w:t, ‘引言’)]/following-sibling::w:p[not(preceding-sibling::w:p[contains(w:r/w:t, ‘范围’)])]/w:r/w:t,error,引言中不得使用“应”“不应”“必须”等要求型表述。
F813,8.4,引言不应给出章编号，若需分条应编为0.1、0.2等。,引言,regex,^0\.\s,error,引言中的条编号应从0.1开始，不应使用“1”“2”等章编号。
F814,8.5.2,范围应设置为文件的第1章。标题应为“范围”。,范围,xpath,//w:p[w:r/w:t=’1’ and following-sibling::w:p/w:r/w:t=’范围’],error,范围必须是第1章，且标题为“范围”。
F815,8.5.3,范围应使用陈述型条款，不应包含要求、指示、推荐和允许型条款。不应陈述背景信息。,范围,regex,应|不应|必须|不得|宜|不宜|可|不必,error,范围中不得出现要求、指示、推荐、允许型能愿动词，仅作事实陈述。
F816,8.5.3,范围陈述应使用固定表达形式：“本文件规定了……”、“本文件确立了……”、“本文件描述了……”、“本文件提供了……”、“本文件给出了……”、“本文件界定了……”，以及“本文件适用于……”、“本文件不适用于……”。,范围,regex,本文件(规定|确立|描述|提供|给出|界定)了.*?。|本文件(适用|不适用)于.*?。,error,范围首句应使用8.5.3规定的固定句式之一。
F817,8.6.1,规范性引用文件应设置为第2章，且不应分条。,章节结构,xpath,//w:p[w:r/w:t=’2’ and following-sibling::w:p/w:r/w:t=’规范性引用文件’],error,“规范性引用文件”必须是第2章，且不应分条。
F818,8.6.2,规范性引用文件清单必须由固定引导语引出，内容为：“下列文件中的内容通过文中的规范性引用而构成本文件必不可少的条款。其中，注日期的引用文件，仅该日期对应的版本适用于本文件；不注日期的引用文件，其最新版本（包括所有的修改单）适用于本文件。”,段落文本,regex,^下列文件中的内容通过文中的规范性引用而构成本文件必不可少的条款。其中，注日期的引用文件，仅该日期对应的版本适用于本文件；不注日期的引用文件，其最新版本（包括所有的修改单）适用于本文件。,error,请使用GB/T 1.1-2020 8.6.2给出的固定引导语。
F819,8.6.2,若无规范性引用文件，应在章标题下说明：“本文件没有规范性引用文件。”,段落文本,regex,^本文件没有规范性引用文件。,error,若无规范性引用文件，第2章标题下应完整给出此说明。
F820,8.6.3.1,清单中列出的文件前不应给出序号。,段落文本,regex,^[0-9]+[\.、]?\s*(GB|GB/T|ISO|IEC|DB|T/),error,规范性引用文件清单中的文件编号前不得添加数字序号。
F821,8.6.3.1,注日期的引用文件，应给出“文件代号、顺序号及发布年份号和/或月份号”以及“文件名”。,段落文本,regex,(GB|GB/T|JB|JG)\s*\d+[—-—]\d{4}(/\d{1,2})?\s*《.*?》,warning,请检查注日期引用的格式是否为“代号 顺序号—年份 文件名”。
F822,8.6.3.1,不注日期的引用文件，应给出“文件代号、顺序号”以及“文件名”。,段落文本,regex,(GB|GB/T|ISO|IEC)\s*\d+\s*《.*?》,warning,请检查不注日期引用的格式是否为“代号 顺序号 文件名”。
F823,8.6.3.2,清单中引用文件的排列顺序应为：国家标准 -> 行业标准 -> 地方标准 -> 团体标准 -> ISO/IEC/IEC标准 -> 其他机构标准 -> 其他文献。同级别按顺序号排列。,段落列表,manual,,error,请按8.6.3.2规定的优先级和顺序排列规范性引用文件。
F824,8.7.1,术语和定义应设置为文件的第3章。可细分条，每条应有条标题。,章节结构,xpath,//w:p[w:r/w:t=’3’ and following-sibling::w:p/w:r/w:t=’术语和定义’],error,“术语和定义”必须是第3章。
F825,8.7.2,术语条目应由以下引导语之一引出：“下列术语和定义适用于本文件。”、“……界定的术语和定义适用于本文件。”、“……界定的以及下列术语和定义适用于本文件。”,段落文本,regex,下列术语和定义适用于本文件。|^[\u4e00-\u9fa5A-Za-z0-9]+界定的(以及下列)?术语和定义适用于本文件。,error,术语和定义章应使用8.7.2规定的引导语之一。
F826,8.7.2,若无需界定术语和定义，应在章标题下说明：“本文件没有需要界定的术语和定义。”,段落文本,regex,^本文件没有需要界定的术语和定义。,error,若无术语需界定，第3章标题下应完整给出此说明。
F827,8.7.3.1,术语条目应包括：条目编号、术语、英文对应词、定义。可包含符号、其他表述形式、示例、注、来源。,术语条目,xpath,//w:p[matches(w:r/w:t, ‘^\d+\.\d+\s’)]/following-sibling::w:p[1]/w:r/w:t,manual,请检查术语条目格式是否包含编号、术语、英文、定义等必备项。
F828,8.7.3.1,术语条目不应缩减成表的形式，任何内容均不准许插入脚注。,术语条目,manual,,error,术语和定义不得使用表格排版，也不得添加脚注。
F829,8.7.3.3,定义应用陈述型条款，不应包含要求型条款或写成要求形式。,定义文本,regex,应|不应|必须|不得,error,术语定义中不得出现要求性表述，仅作概念描述。
F830,8.8.1,符号和缩略语宜作为文件的第4章。可与“术语和定义”合并。,章节结构,xpath,//w:p[w:r/w:t=’4’ and following-sibling::w:p/w:r/w:t[contains(., ‘符号’) or contains(., ‘缩略语’)]],warning,符号和缩略语宜设置为第4章，或并入第3章。
F831,8.8.2,符号/缩略语清单应由以下引导语之一引出：“下列符号适用于本文件。”、“下列缩略语适用于本文件。”、“下列符号和缩略语适用于本文件。”,段落文本,regex,下列(符号|缩略语|符号和缩略语)适用于本文件。,error,符号和缩略语章应使用8.8.2规定的引导语之一。
